F1,F2,F3
0.349,0.214,0.241
0.358,0,-0.174
0.211,-0.47,0.517
0.243,0.63,0
0.362,0.143,0.168
0.352,0.218,0.217
0.331,-0.224,-0.172
0.325,-0.157,-0.465
0.327,-0.156,-0.483
0.262,-0.45,0.283
